,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore,total
56,male,group E,associate's degree,free/reduced,none,68,65,66,199
57,male,group D,some college,free/reduced,none,73,77,72,222
58,female,group E,associate's degree,standard,completed,78,79,82,239
59,female,group C,some college,free/reduced,none,39,57,47,143
60,female,group B,some college,free/reduced,none,23,44,38,105
61,female,group C,some college,standard,none,80,96,84,260
62,male,group D,master's degree,standard,none,76,74,72,222
63,female,group D,high school,standard,none,78,82,76,236
64,female,group D,some high school,standard,none,72,75,80,227
65,female,group E,some college,free/reduced,completed,61,71,73,205
66,female,group E,high school,standard,completed,83,82,89,254
67,male,group D,some high school,standard,completed,71,63,68,202
68,female,group D,some college,free/reduced,none,49,65,64,178
69,male,group C,some college,standard,completed,71,69,70,210
70,female,group D,bachelor's degree,standard,completed,64,74,83,221
71,female,group C,some college,standard,none,57,52,49,158
72,male,group B,associate's degree,free/reduced,completed,68,74,68,210
73,male,group D,master's degree,standard,none,91,82,85,258
74,female,group C,some college,free/reduced,completed,53,64,67,184
75,female,group D,some college,standard,none,56,63,61,180
76,female,group A,some college,free/reduced,none,29,51,47,127
77,male,group E,some college,free/reduced,completed,76,66,70,212
78,male,group C,high school,standard,none,88,83,75,246
79,male,group C,associate's degree,standard,none,61,66,56,183
80,male,group A,some college,standard,completed,67,64,65,196
81,male,group B,associate's degree,standard,none,60,67,65,192
82,female,group C,high school,free/reduced,completed,64,75,78,217
83,female,group C,master's degree,free/reduced,completed,46,60,57,163
84,female,group C,associate's degree,free/reduced,none,38,61,54,153
85,male,group C,some high school,standard,completed,58,67,61,186
86,female,group B,associate's degree,standard,none,83,89,85,257
87,male,group C,high school,standard,completed,92,94,89,275
88,female,group A,high school,standard,none,83,89,89,261
89,female,group C,some high school,standard,completed,62,80,81,223
90,male,group C,some high school,standard,none,59,52,48,159
91,male,group D,some college,standard,none,90,88,85,263
92,male,group C,bachelor's degree,standard,none,79,81,82,242
93,male,group D,some high school,standard,none,51,55,49,155
94,female,group B,bachelor's degree,free/reduced,none,46,56,49,151
95,male,group C,some high school,standard,none,64,54,49,167
96,female,group C,bachelor's degree,standard,none,43,46,49,138
98,male,group B,associate's degree,standard,completed,72,72,71,215
100,male,group D,master's degree,standard,none,80,81,73,234
101,female,group B,high school,standard,none,44,53,51,148
102,male,group C,some college,standard,none,76,71,69,216
103,female,group A,some high school,standard,none,46,56,52,154
104,male,group B,bachelor's degree,standard,none,97,88,90,275
105,female,group A,some high school,standard,none,61,77,76,214
106,female,group B,associate's degree,standard,none,55,66,65,186
107,female,group C,associate's degree,standard,completed,51,67,66,184
108,female,group D,associate's degree,free/reduced,completed,47,61,69,177
109,female,group C,high school,free/reduced,none,33,63,61,157
110,female,group B,some college,free/reduced,completed,49,61,63,173
111,male,group D,some high school,standard,none,62,58,50,170
112,male,group D,some high school,free/reduced,completed,60,60,59,179
113,female,group B,some high school,standard,none,53,66,59,178
114,male,group C,some high school,standard,completed,86,87,84,257
115,female,group E,some high school,standard,completed,68,71,77,216
116,female,group D,master's degree,free/reduced,none,88,100,96,284
117,male,group B,some college,standard,none,64,59,56,179
118,male,group C,associate's degree,free/reduced,none,35,32,31,98
119,male,group D,associate's degree,free/reduced,completed,71,76,79,226
120,male,group B,associate's degree,standard,none,58,57,58,173
121,male,group A,some college,standard,none,60,51,45,156
122,male,group C,bachelor's degree,standard,none,48,49,47,144
124,male,group D,bachelor's degree,standard,none,65,50,60,175
125,female,group E,some college,standard,none,100,99,92,291
127,female,group C,associate's degree,standard,completed,79,91,92,262
128,female,group C,some college,standard,none,70,79,76,225
129,male,group D,associate's degree,standard,completed,95,91,93,279
130,female,group E,some high school,standard,none,70,72,61,203
131,female,group D,bachelor's degree,standard,none,71,73,78,222
132,male,group C,associate's degree,free/reduced,none,59,64,60,183
133,male,group C,some high school,standard,none,91,88,84,263
134,male,group C,some college,standard,none,78,82,78,238
135,female,group B,high school,standard,none,57,72,70,199
136,male,group D,high school,free/reduced,none,65,68,62,195
137,female,group B,some high school,standard,completed,77,85,89,251
138,male,group C,bachelor's degree,free/reduced,none,64,59,52,175
139,female,group C,some college,free/reduced,none,57,57,64,178
140,female,group B,high school,standard,completed,71,66,68,205
141,female,group B,some college,standard,completed,45,52,49,146
142,female,group C,master's degree,standard,none,75,90,85,250
143,female,group E,high school,standard,none,80,72,72,224
144,female,group C,some college,standard,none,71,74,64,209
145,male,group C,some high school,standard,none,67,57,52,176
146,female,group C,high school,free/reduced,none,55,69,59,183
147,male,group D,bachelor's degree,free/reduced,none,84,93,82,259
148,male,group D,high school,free/reduced,none,66,74,62,202
149,female,group E,some high school,standard,none,62,60,59,181
150,female,group C,associate's degree,free/reduced,completed,54,71,75,200
151,female,group A,associate's degree,standard,none,55,64,69,188
152,female,group A,some high school,standard,none,49,70,65,184
153,female,group C,high school,free/reduced,completed,44,52,57,153
154,female,group C,bachelor's degree,free/reduced,completed,80,91,97,268
155,female,group C,associate's degree,standard,none,56,67,65,188
156,female,group C,high school,free/reduced,none,53,62,65,180
157,female,group B,master's degree,free/reduced,none,55,74,71,200
158,female,group C,associate's degree,standard,none,64,62,63,189
159,male,group D,associate's degree,free/reduced,completed,56,55,58,169
160,male,group D,some college,standard,none,96,80,81,257
161,male,group A,some college,standard,none,60,47,39,146
162,female,group C,bachelor's degree,standard,none,60,72,68,200
163,female,group C,bachelor's degree,free/reduced,none,39,62,51,152
164,female,group C,bachelor's degree,standard,none,60,65,58,183
165,female,group E,associate's degree,standard,completed,76,79,74,229
166,male,group C,associate's degree,standard,none,78,74,76,228
167,male,group D,master's degree,standard,none,72,70,72,214
168,female,group C,associate's degree,free/reduced,none,51,70,66,187
170,male,group B,high school,free/reduced,completed,78,61,65,204
171,male,group C,some high school,standard,completed,47,49,47,143
172,male,group D,high school,free/reduced,none,64,61,60,185
173,male,group C,some college,standard,completed,81,79,78,238
174,female,group A,some college,standard,none,54,58,62,174
175,female,group C,associate's degree,free/reduced,none,38,48,46,132
176,male,group B,high school,free/reduced,completed,44,48,46,138
177,male,group B,associate's degree,standard,none,61,61,60,182
178,female,group B,high school,free/reduced,completed,59,74,79,212
179,female,group C,bachelor's degree,free/reduced,none,52,56,58,166
180,male,group D,associate's degree,free/reduced,completed,73,76,76,225
181,male,group D,some high school,standard,none,71,57,58,186
182,female,group C,some college,standard,none,42,59,59,160
183,male,group D,some college,free/reduced,completed,74,84,79,237
184,male,group D,some college,free/reduced,none,55,49,47,151
185,male,group C,high school,standard,none,65,63,56,184
186,female,group B,associate's degree,standard,completed,70,90,85,245
187,female,group B,associate's degree,free/reduced,none,56,76,72,204
188,male,group C,high school,free/reduced,none,60,52,46,158
189,male,group C,some college,standard,completed,92,85,81,258
190,female,group A,some college,standard,none,63,72,71,206
191,male,group C,bachelor's degree,standard,none,73,64,67,204
192,female,group C,some high school,free/reduced,none,41,57,56,154
193,male,group C,associate's degree,free/reduced,completed,49,34,36,119
194,male,group B,high school,standard,completed,86,80,77,243
195,female,group B,some college,standard,none,51,61,68,180
196,female,group B,some high school,free/reduced,none,58,66,59,183
197,male,group C,bachelor's degree,standard,completed,73,78,71,222
198,male,group D,bachelor's degree,free/reduced,none,65,72,63,200
199,male,group B,some high school,free/reduced,none,56,55,49,160
200,female,group E,bachelor's degree,standard,none,75,84,79,238
201,female,group B,some college,standard,completed,74,74,73,221
202,female,group E,associate's degree,free/reduced,none,88,90,84,262
203,male,group E,high school,standard,completed,89,71,81,241
204,male,group B,associate's degree,free/reduced,completed,74,87,75,236
205,female,group B,some high school,standard,completed,83,90,94,267
206,female,group E,associate's degree,free/reduced,none,63,80,74,217
207,male,group D,some high school,standard,completed,78,66,72,216
208,female,group E,master's degree,standard,none,84,100,91,275
209,male,group B,some college,free/reduced,none,79,82,74,235
210,female,group C,high school,free/reduced,none,62,72,68,202
211,female,group D,some high school,standard,completed,63,71,72,206
212,male,group E,bachelor's degree,standard,none,100,93,88,281
213,male,group E,associate's degree,free/reduced,completed,69,71,66,206
214,female,group C,some high school,standard,completed,55,63,69,187
215,male,group E,some high school,standard,none,85,72,74,231
216,male,group B,master's degree,standard,none,100,90,88,278
217,female,group B,associate's degree,standard,none,29,39,35,103
218,male,group C,some college,standard,completed,74,64,72,210
219,female,group D,associate's degree,standard,none,42,54,54,150
220,female,group A,associate's degree,standard,completed,72,78,79,229
221,male,group D,some high school,standard,none,58,52,50,160
222,male,group C,some high school,free/reduced,none,39,47,39,125
223,male,group D,high school,standard,none,75,65,68,208
224,male,group C,master's degree,standard,completed,66,57,64,187
225,male,group B,high school,free/reduced,none,69,61,60,190
226,male,group D,some high school,standard,none,60,60,61,181
227,male,group B,bachelor's degree,standard,none,69,68,62,199
228,female,group C,associate's degree,standard,none,78,81,78,237
229,male,group C,high school,free/reduced,none,52,46,45,143
230,male,group C,some high school,standard,none,71,72,65,208
231,female,group E,some high school,standard,none,67,64,65,196
232,male,group B,high school,standard,none,70,64,58,192
233,male,group D,some college,standard,none,66,56,48,170
235,female,group C,some college,standard,none,52,69,67,188
236,female,group D,master's degree,free/reduced,completed,76,88,92,256
237,male,group D,associate's degree,standard,none,76,70,63,209
238,male,group C,master's degree,free/reduced,none,45,46,39,130
239,female,group B,high school,standard,none,50,63,64,177
240,female,group C,some college,standard,completed,57,69,69,195
241,male,group D,associate's degree,free/reduced,none,79,75,68,222
242,female,group C,some college,free/reduced,none,61,76,73,210
243,female,group B,some college,standard,none,59,56,58,173
244,female,group C,some high school,standard,none,46,55,55,156
245,male,group C,associate's degree,standard,none,90,93,85,268
246,male,group C,master's degree,free/reduced,none,62,54,57,173
247,male,group C,high school,standard,none,85,78,75,238
248,male,group B,some college,free/reduced,none,36,37,38,111
249,female,group C,some college,standard,completed,55,63,70,188
250,female,group D,some college,standard,none,41,45,48,134
251,female,group C,associate's degree,standard,none,46,55,51,152
252,female,group D,bachelor's degree,standard,none,77,67,77,221
253,male,group C,some high school,free/reduced,none,58,57,49,164
255,male,group D,some high school,standard,completed,91,87,93,271
256,female,group B,some college,free/reduced,none,55,65,69,189
257,male,group E,bachelor's degree,standard,none,100,85,83,268
258,female,group D,associate's degree,standard,none,61,69,73,203
259,male,group E,some college,free/reduced,completed,77,68,74,219
260,female,group C,high school,standard,completed,61,67,73,201
261,male,group C,associate's degree,standard,none,82,80,75,237
262,male,group D,associate's degree,standard,none,90,86,87,263
263,male,group B,some college,standard,completed,88,87,81,256
264,male,group C,master's degree,standard,none,65,65,60,190
265,male,group B,master's degree,standard,completed,94,99,97,290
266,female,group D,associate's degree,standard,completed,74,93,91,258
267,female,group D,associate's degree,standard,none,74,79,76,229
268,female,group E,bachelor's degree,free/reduced,completed,76,82,83,241
269,male,group D,some high school,standard,none,76,67,67,210
270,female,group B,associate's degree,free/reduced,none,45,51,43,139
271,female,group D,bachelor's degree,free/reduced,none,53,63,71,187
272,male,group D,high school,standard,completed,73,58,59,190
273,male,group C,bachelor's degree,standard,completed,98,100,98,296
274,male,group C,associate's degree,free/reduced,completed,44,45,48,137
275,female,group B,high school,standard,completed,52,55,53,160
276,female,group B,high school,standard,none,67,73,74,214
277,male,group C,master's degree,free/reduced,none,71,73,69,213
278,female,group D,some high school,standard,none,61,57,66,184
279,female,group B,high school,free/reduced,completed,64,78,83,225
280,male,group B,high school,standard,none,72,69,64,205
281,male,group C,bachelor's degree,standard,none,54,49,40,143
282,male,group D,some college,standard,none,73,69,73,215
283,male,group C,bachelor's degree,standard,none,87,84,82,253
284,female,group E,some college,standard,completed,94,100,100,294
285,male,group C,some college,standard,none,46,38,41,125
286,male,group C,some college,standard,none,69,60,58,187
287,male,group C,associate's degree,free/reduced,none,44,45,43,132
288,male,group B,high school,standard,none,78,77,71,226
289,male,group B,some high school,standard,none,87,82,76,245
290,female,group C,some college,standard,none,50,63,55,168
291,female,group D,master's degree,standard,none,72,93,88,253
292,male,group B,high school,free/reduced,none,46,48,38,132
293,male,group B,some high school,free/reduced,none,46,39,34,119
294,female,group D,high school,free/reduced,none,50,58,59,167
295,female,group E,master's degree,standard,completed,74,63,74,211
296,female,group C,some high school,free/reduced,none,55,55,54,164
297,male,group A,some high school,standard,none,41,38,39,118
298,male,group C,some college,standard,none,70,74,68,212
300,female,group E,bachelor's degree,standard,none,62,62,64,188
301,male,group E,high school,free/reduced,completed,65,51,52,168
302,female,group D,some high school,free/reduced,completed,64,72,77,213
303,female,group D,associate's degree,free/reduced,none,76,73,73,222
304,male,group D,associate's degree,standard,none,71,77,68,216
305,male,group D,some college,standard,none,58,59,61,178
306,female,group B,associate's degree,standard,completed,81,88,93,262
307,female,group C,some high school,standard,completed,72,80,81,233
308,female,group E,associate's degree,standard,none,78,83,80,241
309,female,group C,associate's degree,standard,none,66,70,61,197
310,female,group C,high school,free/reduced,none,40,62,57,159
311,female,group C,high school,standard,none,68,70,78,216
312,male,group E,some high school,standard,completed,82,64,70,216
313,male,group C,high school,standard,completed,71,63,65,199
314,male,group D,bachelor's degree,free/reduced,none,78,81,78,237
315,female,group C,some college,standard,none,66,79,76,221
316,male,group D,associate's degree,standard,none,72,70,59,201
317,female,group E,bachelor's degree,free/reduced,completed,94,100,100,294
318,male,group E,associate's degree,standard,completed,57,43,50,150
319,female,group B,some high school,standard,completed,84,92,91,267
320,female,group E,some high school,standard,completed,83,80,81,244
321,male,group C,master's degree,free/reduced,none,67,55,53,175
322,female,group B,some college,standard,none,73,77,73,223
323,female,group C,associate's degree,standard,none,59,68,65,192
324,female,group B,some college,free/reduced,none,67,78,79,224
325,male,group E,bachelor's degree,standard,completed,94,79,86,259
326,male,group D,high school,standard,completed,86,72,74,232
327,female,group C,some high school,standard,none,68,73,71,212
328,female,group B,master's degree,free/reduced,none,64,80,79,223
329,male,group C,some college,free/reduced,completed,79,84,77,240
330,female,group D,high school,free/reduced,none,73,89,73,235
331,male,group D,some college,free/reduced,none,55,51,55,161
332,female,group A,bachelor's degree,standard,none,65,61,64,190
333,male,group C,associate's degree,standard,completed,75,66,71,212
334,female,group C,some college,free/reduced,completed,69,79,88,236
335,female,group D,high school,free/reduced,none,66,75,76,217
336,male,group C,associate's degree,standard,none,65,68,59,192
337,male,group B,high school,free/reduced,completed,62,56,53,171
338,male,group C,master's degree,free/reduced,none,53,49,51,153
339,female,group C,some college,free/reduced,none,72,82,82,236
340,male,group B,high school,free/reduced,none,40,40,29,109
341,female,group D,high school,standard,none,45,61,53,159
342,male,group C,some high school,standard,none,78,74,66,218
343,female,group A,some high school,standard,none,67,73,71,211
344,male,group C,master's degree,standard,completed,90,85,95,270
345,male,group D,master's degree,standard,none,89,75,83,247
346,female,group E,some college,standard,none,69,79,76,224
347,male,group C,master's degree,standard,completed,96,89,91,276
348,female,group C,associate's degree,standard,none,87,100,94,281
349,male,group B,associate's degree,free/reduced,none,52,45,44,141
350,male,group E,some college,standard,none,80,71,65,216
351,male,group D,high school,standard,completed,53,45,55,153
352,male,group D,associate's degree,standard,none,52,38,38,128
353,female,group C,high school,free/reduced,none,50,63,60,173
354,male,group C,high school,free/reduced,none,74,76,66,216
355,female,group D,some high school,standard,none,57,67,66,190
356,female,group D,master's degree,free/reduced,none,75,81,79,235
357,male,group D,associate's degree,standard,none,60,52,49,161
358,female,group D,high school,free/reduced,none,60,70,65,195
359,female,group D,master's degree,free/reduced,none,80,81,88,249
360,male,group D,high school,standard,none,68,57,60,185
361,male,group C,some high school,standard,none,25,27,16,68
362,male,group B,bachelor's degree,standard,completed,90,89,95,274
363,female,group C,some college,standard,none,70,89,89,248
364,female,group C,associate's degree,free/reduced,none,44,45,40,129
365,male,group C,associate's degree,standard,completed,85,81,79,245
366,male,group C,high school,free/reduced,none,72,67,61,200
367,male,group C,high school,free/reduced,completed,65,66,70,201
368,female,group B,associate's degree,free/reduced,none,44,65,56,165
369,male,group C,some college,standard,none,85,89,84,258
370,male,group D,bachelor's degree,free/reduced,completed,54,59,58,171
371,male,group C,bachelor's degree,standard,none,79,75,75,229
372,male,group D,bachelor's degree,standard,none,63,47,53,163
373,female,group C,some college,free/reduced,none,47,56,59,162
374,female,group D,some high school,standard,none,51,59,61,171
375,male,group B,some college,standard,none,49,29,36,114
376,female,group E,some college,standard,none,58,60,57,175
377,male,group C,some high school,standard,completed,81,74,77,232
378,female,group D,some college,standard,none,67,62,68,197
379,male,group C,some college,free/reduced,none,71,76,72,219
380,female,group B,bachelor's degree,standard,completed,72,80,77,229
381,female,group E,bachelor's degree,standard,none,73,80,81,234
382,female,group D,bachelor's degree,free/reduced,none,61,76,74,211
383,female,group B,some college,standard,none,75,85,84,244
384,female,group B,high school,standard,completed,70,81,84,235
385,female,group B,some college,free/reduced,none,56,72,68,196
386,male,group E,some high school,free/reduced,none,78,65,69,212
387,female,group C,master's degree,free/reduced,none,45,59,59,163
388,male,group C,associate's degree,standard,none,50,52,45,147
389,male,group A,associate's degree,standard,none,83,77,71,231
390,male,group C,high school,standard,completed,78,74,79,231
391,male,group B,associate's degree,standard,none,84,72,74,230
392,male,group E,associate's degree,free/reduced,none,80,82,78,240
393,female,group D,associate's degree,free/reduced,none,53,61,66,180
394,female,group A,some college,standard,none,46,55,53,154
395,female,group C,some high school,standard,none,73,72,73,218
396,male,group A,associate's degree,standard,none,57,48,54,159
397,female,group B,high school,free/reduced,none,35,55,46,136
398,male,group D,bachelor's degree,free/reduced,completed,83,76,85,244
399,male,group D,some high school,free/reduced,none,33,31,25,89
400,male,group E,some high school,standard,none,81,74,65,220
401,female,group B,high school,free/reduced,none,59,78,70,207
402,female,group E,some college,free/reduced,completed,71,86,78,235
403,female,group D,bachelor's degree,free/reduced,none,56,70,66,192
404,female,group C,master's degree,standard,none,80,86,84,250
405,female,group E,associate's degree,free/reduced,none,71,79,80,230
406,female,group C,some high school,standard,none,64,75,67,206
407,female,group C,some high school,standard,completed,70,73,77,220
408,female,group D,associate's degree,free/reduced,completed,45,62,62,169
409,female,group B,some high school,free/reduced,completed,47,57,60,164
410,male,group E,high school,free/reduced,none,81,78,68,227
411,female,group A,some college,standard,none,68,84,84,236
412,male,group B,associate's degree,standard,none,55,49,43,147
413,male,group D,high school,standard,none,82,78,70,230
414,male,group A,high school,standard,none,58,68,61,187
415,male,group A,high school,standard,none,81,71,73,225
416,male,group E,associate's degree,free/reduced,completed,70,65,63,198
418,male,group B,high school,standard,none,65,56,55,176
419,male,group D,associate's degree,free/reduced,completed,71,67,67,205
420,female,group C,some college,standard,completed,88,100,100,288
421,female,group C,some high school,standard,completed,79,91,93,263
422,male,group B,master's degree,standard,completed,79,84,85,248
423,male,group C,associate's degree,standard,none,54,47,47,148
424,male,group C,high school,standard,none,60,48,48,156
425,male,group B,some college,standard,none,67,55,46,168
426,male,group B,bachelor's degree,standard,none,74,76,76,226
427,male,group E,some high school,standard,completed,79,83,78,240
428,female,group D,high school,standard,none,83,89,84,256
429,female,group D,associate's degree,standard,completed,83,95,100,278
430,male,group D,associate's degree,free/reduced,none,50,47,50,147
431,male,group E,associate's degree,standard,none,47,34,31,112
432,male,group D,associate's degree,standard,none,86,74,79,239
433,female,group D,master's degree,standard,completed,68,75,77,220
434,female,group C,associate's degree,standard,completed,76,88,84,248
435,female,group D,master's degree,standard,none,79,81,86,246
436,female,group C,high school,free/reduced,none,63,71,64,198
437,male,group C,some high school,standard,none,61,57,48,166
438,female,group C,master's degree,standard,none,88,92,94,274
439,male,group E,high school,standard,completed,84,80,79,243
440,male,group C,master's degree,standard,completed,69,77,77,223
441,female,group D,high school,standard,none,84,83,89,256
442,female,group D,master's degree,standard,none,83,90,90,263
443,male,group E,some high school,standard,none,91,79,72,242
444,male,group E,some college,standard,none,91,75,78,244
445,female,group D,master's degree,standard,none,92,99,98,289
446,female,group D,some high school,standard,none,64,66,64,194
448,female,group A,high school,free/reduced,completed,52,64,66,182
449,female,group C,some high school,standard,completed,77,91,96,264
450,female,group C,some college,free/reduced,completed,61,71,74,206
451,male,group C,some high school,free/reduced,completed,72,65,68,205
452,female,group C,some college,standard,none,72,91,91,254
453,female,group A,high school,standard,completed,81,74,85,240
454,female,group B,bachelor's degree,free/reduced,completed,45,58,59,162
455,female,group C,some high school,standard,none,45,55,56,156
456,female,group C,some college,standard,completed,74,89,87,250
457,male,group E,some high school,standard,none,73,67,61,201
458,female,group D,master's degree,free/reduced,none,61,73,80,214
459,male,group B,master's degree,free/reduced,none,77,66,66,209
460,male,group E,high school,standard,none,85,73,70,228
461,female,group E,some college,standard,none,76,81,75,232
462,male,group D,associate's degree,standard,none,74,70,73,217
463,male,group C,some college,free/reduced,completed,41,51,48,140
464,male,group D,associate's degree,standard,none,68,66,64,198
465,female,group D,some college,free/reduced,completed,75,91,93,259
466,male,group D,associate's degree,standard,none,67,64,68,199
467,male,group C,high school,standard,none,68,53,54,175
468,female,group B,high school,standard,none,45,48,44,137
469,female,group B,high school,free/reduced,none,37,47,44,128
470,female,group A,associate's degree,standard,none,70,77,71,218
471,female,group A,some high school,standard,completed,59,69,71,199
472,male,group D,bachelor's degree,standard,completed,100,86,97,283
473,male,group B,high school,standard,completed,94,92,89,275
474,male,group E,high school,standard,completed,49,47,45,141
475,female,group C,associate's degree,standard,completed,50,61,62,173
476,male,group D,high school,standard,none,62,55,57,174
477,male,group D,bachelor's degree,standard,completed,97,93,98,288
478,female,group D,high school,standard,none,59,63,65,187
479,female,group C,high school,standard,none,72,79,80,231
480,female,group B,some high school,free/reduced,completed,47,56,62,165
481,male,group C,associate's degree,standard,none,75,80,76,231
482,male,group D,some college,standard,none,88,74,77,239
483,female,group E,bachelor's degree,standard,none,64,69,65,198
484,female,group B,associate's degree,standard,none,51,58,56,165
485,female,group C,some college,standard,none,62,62,61,185
486,male,group C,high school,standard,none,71,62,56,189
487,female,group D,some high school,standard,completed,42,46,48,136
488,male,group B,some college,standard,none,69,64,60,193
489,male,group A,some college,standard,none,65,62,55,182
490,female,group A,associate's degree,free/reduced,none,43,53,48,144
491,female,group C,high school,standard,completed,60,59,63,182
492,female,group B,associate's degree,free/reduced,none,65,77,76,218
493,male,group B,bachelor's degree,standard,completed,89,87,85,261
494,female,group A,some high school,standard,none,56,58,61,175
495,female,group D,some college,standard,none,77,95,95,267
496,female,group C,associate's degree,standard,completed,66,66,67,199
497,male,group D,associate's degree,free/reduced,completed,62,71,70,203
498,male,group A,master's degree,free/reduced,none,42,36,39,117
499,female,group C,some high school,standard,completed,71,84,86,241
500,male,group B,some college,standard,completed,61,53,50,164
501,female,group D,some high school,standard,none,83,84,90,257
502,female,group C,some college,standard,none,53,64,66,183
503,female,group D,bachelor's degree,free/reduced,none,64,62,68,194
504,male,group C,associate's degree,free/reduced,none,49,42,37,128
505,female,group C,some college,standard,none,77,93,91,261
506,male,group E,associate's degree,standard,completed,85,71,70,226
507,female,group B,some college,free/reduced,none,46,61,50,157
508,female,group D,some college,free/reduced,none,45,51,50,146
509,female,group D,some high school,standard,completed,64,77,78,219
510,female,group D,associate's degree,standard,completed,77,86,92,255
511,male,group A,some college,standard,completed,66,55,56,177
512,male,group C,associate's degree,free/reduced,none,58,49,52,159
513,male,group A,associate's degree,standard,none,80,74,70,224
514,male,group C,some college,standard,none,62,58,52,172
515,female,group D,master's degree,free/reduced,none,43,60,63,166
516,male,group C,some high school,free/reduced,none,72,78,71,221
517,male,group D,bachelor's degree,standard,completed,73,69,75,217
518,female,group A,some high school,free/reduced,none,56,76,64,196
519,male,group C,high school,standard,none,77,91,81,249
520,female,group C,associate's degree,standard,none,66,83,79,228
521,male,group D,some high school,standard,none,76,83,75,234
522,female,group B,high school,standard,none,56,80,77,213
523,female,group C,associate's degree,free/reduced,none,18,44,37,99
524,female,group B,master's degree,free/reduced,none,62,64,75,201
525,male,group D,some high school,standard,completed,63,57,58,178
526,female,group B,some college,free/reduced,none,57,83,76,216
527,female,group B,associate's degree,standard,none,65,76,76,217
528,male,group B,associate's degree,standard,none,67,60,56,183
529,female,group B,some college,free/reduced,completed,24,53,45,122
530,male,group B,high school,standard,none,81,73,69,223
531,female,group C,high school,free/reduced,none,70,77,71,218
532,female,group B,associate's degree,standard,completed,71,77,79,227
533,male,group D,high school,free/reduced,none,54,56,48,158
534,female,group E,high school,free/reduced,none,58,67,64,189
535,male,group C,bachelor's degree,standard,completed,82,76,79,237
536,female,group D,some college,standard,none,29,39,42,110
537,female,group D,bachelor's degree,standard,completed,74,85,89,248
538,female,group E,associate's degree,free/reduced,none,57,77,67,201
539,male,group C,high school,free/reduced,none,59,58,53,170
540,male,group B,associate's degree,free/reduced,none,55,48,46,149
541,male,group C,associate's degree,standard,none,70,66,60,196
542,male,group B,bachelor's degree,free/reduced,none,61,59,57,177
543,female,group D,high school,free/reduced,completed,63,77,78,218
544,female,group E,some college,free/reduced,none,54,69,64,187
545,male,group B,high school,free/reduced,completed,58,62,57,177
546,female,group D,some college,standard,none,70,85,80,235
547,female,group D,high school,standard,none,52,74,66,192
548,female,group D,some high school,standard,none,79,82,84,245
549,female,group E,some college,standard,none,77,82,75,234
550,male,group E,bachelor's degree,standard,completed,99,98,96,293
551,female,group C,some college,standard,completed,74,90,91,255
552,female,group B,some college,standard,completed,76,98,97,271
553,female,group D,bachelor's degree,standard,none,61,64,69,194
554,male,group D,associate's degree,standard,completed,75,67,66,208
555,male,group C,some high school,free/reduced,completed,47,60,55,162
556,female,group C,some college,free/reduced,completed,26,49,42,117
557,male,group D,high school,free/reduced,none,72,70,68,210
558,male,group E,some college,free/reduced,none,58,56,56,170
559,female,group E,high school,standard,none,84,82,71,237
560,female,group D,associate's degree,standard,completed,82,93,93,268
561,female,group D,associate's degree,free/reduced,none,83,96,91,270
562,female,group B,some high school,standard,none,48,64,53,165
563,male,group C,some college,free/reduced,none,49,45,38,132
564,male,group D,associate's degree,free/reduced,none,61,53,49,163
565,female,group C,bachelor's degree,free/reduced,none,79,80,85,244
566,male,group E,some college,free/reduced,completed,69,66,71,206
567,male,group E,bachelor's degree,free/reduced,completed,80,72,76,228
568,female,group C,some college,free/reduced,completed,48,65,69,182
569,male,group C,high school,standard,none,87,81,73,241
570,male,group D,high school,free/reduced,none,59,63,60,182
571,male,group D,bachelor's degree,standard,none,63,66,65,194
572,female,group C,some college,standard,none,47,59,53,159
573,male,group D,associate's degree,standard,completed,74,69,78,221
574,female,group E,high school,standard,completed,99,99,98,296
575,female,group E,some high school,standard,completed,75,85,80,240
576,male,group D,some college,standard,completed,82,69,75,226
577,male,group D,some high school,standard,none,60,53,49,162
578,female,group E,high school,standard,completed,56,61,62,179
579,female,group C,some high school,standard,completed,74,91,95,260
580,male,group C,master's degree,standard,none,77,69,72,218
581,male,group C,some college,free/reduced,none,49,46,41,136
582,female,group B,some high school,free/reduced,none,59,67,62,188
583,female,group E,some high school,free/reduced,none,65,79,71,215
584,male,group B,some college,standard,none,75,73,79,227
585,male,group D,some high school,standard,none,58,59,58,175
586,male,group A,associate's degree,standard,none,64,62,64,190
587,female,group E,some high school,standard,none,61,62,61,184
588,female,group E,bachelor's degree,free/reduced,none,53,68,67,188
589,female,group C,some high school,standard,none,52,64,53,169
590,female,group D,bachelor's degree,free/reduced,completed,51,73,74,198
591,female,group D,some high school,standard,none,47,63,61,171
592,male,group B,associate's degree,standard,completed,41,44,42,127
593,male,group B,some high school,standard,completed,64,70,70,204
594,female,group D,some high school,standard,completed,81,92,96,269
595,female,group D,high school,free/reduced,none,49,53,53,155
596,male,group E,some high school,standard,completed,100,100,95,295
597,female,group C,associate's degree,free/reduced,none,59,77,81,217
598,male,group C,some college,standard,none,75,79,71,225
599,female,group B,some high school,standard,none,91,89,83,263
600,male,group E,high school,standard,none,84,65,70,219
601,male,group C,some college,free/reduced,none,70,58,57,185
602,male,group E,associate's degree,standard,completed,73,67,57,197
